"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
142.3,100,0.091,1.56,13.4,0.5064209999999969
125.2,205,0.012,0.47,8.1,0.4609669999999943
109.8,200,0.007,0.43,4.4,0.30809700000000123
95.6,165,0.001,0.49,2.7,0.27145600000000014
116.0,200,0.014,0.69,6.0,0.45531699999999503
100.3,300,0.041,1.04,48.1,0.4906839999999959
112.3,340,0.004,0.31,2.7,0.24285800000000066
101.3,200,0.106,1.15,8.0,0.495704999999994
138.9,180,0.01,0.32,2.0,0.19298799999999888
101.7,230,0.013,0.49,12.0,0.4498899999999963
104.0,430,0.005,0.26,3.1,0.2521180000000017
100.6,165,0.004,0.47,3.0,0.2849760000000005
