"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
131.8,450,0.008,0.6,2.6,0.31,6008000702,43.67833164,-79.67950823
109.8,305,0.01,0.59,10.2,0.48,6008000702,43.67833164,-79.67950823
120.4,255,0.026,0.14,2.1,0.14,6008000702,43.67833164,-79.67950823
122,210,0.008,0.68,1.5,0.28,6008000702,43.67833164,-79.67950823
101,260,0.039,0.3,5.8,0.44,6008000702,43.67833164,-79.67950823
129.6,195,0.008,0.88,10,0.48,6008000702,43.67833164,-79.67950823
137,180,0.037,0.85,113,0.47,6008000702,43.67833164,-79.67950823
116.1,255,0.021,0.5,4.4,0.32,6008000702,43.67833164,-79.67950823
106.8,265,0.063,0.36,7.8,0.46,6008000702,43.67833164,-79.67950823
109.5,520,0.07,0.69,16.7,0.47,6008000702,43.67833164,-79.67950823
110.4,450,0.03,0.66,58.7,0.47,6008000702,43.67833164,-79.67950823
123,275,0.027,0.36,0.9,0.15,6008000702,43.67833164,-79.67950823
109,120,0.009,0.71,40.8,0.47,6008000702,43.67833164,-79.67950823
146.6,150,0.052,0.47,5.2,0.42,6008000702,43.67833164,-79.67950823
91,510,0.022,0.7,12.6,0.47,6008000702,43.67833164,-79.67950823
98,200,0.193,0.44,10.4,0.47,6008000702,43.67833164,-79.67950823
122.9,110,0.004,0.33,3.6,0.29,6008000702,43.67833164,-79.67950823
171.3,310,0.024,0.38,6.7,0.46,6008000702,43.67833164,-79.67950823
111.9,320,0.022,0.66,20.6,0.47,6008000702,43.67833164,-79.67950823
119.3,310,0.027,0.85,26.7,0.47,6008000702,43.67833164,-79.67950823
90.7,470,0.004,0.4,2.9,0.28,6008000702,43.67833164,-79.67950823
87,450,0.009,0.65,7.1,0.47,6008000702,43.67833164,-79.67950823
116.3,340,0.006,0.39,8.8,0.47,6008000702,43.67833164,-79.67950823
133.3,200,0.015,0.72,7.5,0.47,6008000702,43.67833164,-79.67950823
114.2,400,0.008,0.99,34.6,0.49,6008000702,43.67833164,-79.67950823
119.4,200,0.038,0.36,0.9,0.15,6008000702,43.67833164,-79.67950823
112.5,145,0.031,0.38,3.2,0.29,6008000702,43.67833164,-79.67950823
115,290,0.016,0.55,5.6,0.44,6008000702,43.67833164,-79.67950823
125.8,320,0.026,0.29,4.8,0.3,6008000702,43.67833164,-79.67950823
