"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
118.6,160.0,0.026,0.56,3.4
111.4,160.0,0.026,0.93,83.1
143.5,140.0,0.015,0.56,10.0
108.2,200.0,0.028,0.55,2.2
107.0,150.0,0.1129999999999999,0.75,5.7
140.9,220.0,0.023,0.64,3.7
136.1,185.0,0.082,0.83,7.5
122.0,155.0,0.04,0.72,5.1
102.0,240.0,0.0849999999999999,1.61,6.8
102.8,120.0,0.028,0.61,4.9
141.0,140.0,0.1,1.4,16.7
135.0,255.0,0.017,0.57,2.1
174.0,130.0,0.017,0.55,4.1
99.0,250.0,0.038,0.63,13.0
90.5,155.0,0.053,1.1,131.0
112.0,160.0,0.136,0.9,26.5
127.0,250.0,0.053,0.6,4.5
101.5,160.0,0.03,1.0,252.0
113.1,355.0,0.059,1.44,5.7
122.0,160.0,0.038,0.52,2.1
137.5,370.0,0.018,0.66,6.3
93.0,190.0,0.065,0.897,5.2
94.0,250.0,0.032,0.65,30.8
108.0,195.0,0.053,1.35,7.2
135.6,160.0,0.008,0.45,6.6
128.0,180.0,0.013,0.62,41.1
108.0,190.0,0.0319,1.83,23.6
110.0,130.0,0.006,0.96,5.6
131.8,450.0,0.01,0.6,2.6
102.0,400.0,0.131,1.7200000000000002,9.5
116.3,130.0,0.087,1.88,143.0
116.9,130.0,0.014,0.68,6.8
116.0,205.0,0.079,1.19,6.3
109.0,130.0,0.022,0.43,3.6
104.0,160.0,0.055,1.46,28.4
146.3,155.0,0.004,0.56,4.3
123.7,120.0,0.02,0.43,5.9
170.1,190.0,0.014,0.55,2.7
98.0,130.0,0.036,0.419,2.0
213.1,250.0,0.015,0.45,4.2
115.2,190.0,0.008,0.53,2.6
121.4,650.0,0.007,0.73,3.6
94.0,130.0,0.05,1.35,3.5
100.0,110.0,0.006,0.6,5.0
103.0,250.0,0.014,0.46,2.6
135.0,440.0,0.01,0.54,10.0
94.0,215.0,0.013,0.67,5.9
108.9,200.0,0.011,0.57,10.6
121.7,310.0,0.037,1.1,96.8
116.0,200.0,0.014,0.69,6.0
89.2,105.0,0.012,0.34,3.7
106.2,200.0,0.008,0.58,2.1
86.0,170.0,0.094,5.140000000000001,330.0
152.0,200.0,0.01,0.63,2.9
98.0,400.0,0.016,0.62,11.2
102.0,235.0,0.022,0.82,4.0
103.8,210.0,0.009,0.54,3.2
104.6,150.0,0.021,0.66,3.0
131.3,185.0,0.012,0.63,13.6
136.9,160.0,0.013,0.56,3.6
101.0,500.0,0.037,0.86,4.0
136.6,310.0,0.013,0.61,1.7
118.0,200.0,0.043,0.37,9.0
124.9,150.0,0.039,0.7,32.6
129.0,240.0,0.022,1.924,26.0
102.3,235.0,0.033,2.18,58.0
107.7,210.0,0.013,0.41,2.5
100.8,230.0,0.014,1.06,26.0
146.0,140.0,0.049,0.6,5.0
101.0,100.0,0.016,0.797,23.0
107.6,440.0,0.013,0.86,34.3
85.8,200.0,0.011,0.98,10.0
83.4,230.0,0.006,0.65,9.0
163.6,255.0,0.011,0.98,24.0
120.0,200.0,0.009,0.64,15.0
99.0,120.0,0.007,1.39,38.0
128.4,120.0,0.018,0.9,32.0
118.7,130.0,0.013,0.71,20.4
96.3,150.0,0.011,1.11,22.0
136.4,230.0,0.017,0.76,24.4
97.5,180.0,0.011,0.92,5.0
124.2,250.0,0.038,1.01,32.9
102.8,135.0,0.012,1.17,27.0
110.0,120.0,0.008,0.83,44.3
124.0,160.0,0.01,0.97,15.3
110.0,280.0,0.028,1.58,65.0
143.5,165.0,0.01,0.68,15.2
120.1,125.0,0.007,0.58,6.6
128.7,135.0,0.009,0.69,12.2
102.2,210.0,0.011,0.61,6.0
104.0,110.0,0.011,0.82,19.0
106.9,180.0,0.015,0.87,26.5
104.1,150.0,0.009,0.8,15.8
108.2,130.0,0.014,1.12,19.0
98.6,200.0,0.011,0.66,10.0
107.0,175.0,0.03,1.2,20.0
98.4,1000.0,0.011,0.39,5.0
98.3,130.0,0.011,0.74,9.0
126.0,210.0,0.005,0.38,3.0
119.0,200.0,0.034,0.88,5.0
126.3,180.0,0.011,0.82,22.2
99.7,120.0,0.013,0.88,6.0
106.7,450.0,0.027,1.95,45.0
140.0,120.0,0.014,0.47,8.0
109.0,180.0,0.044,0.74,10.0
122.8,170.0,0.012,0.62,9.6
105.0,140.0,0.012,1.32,2.0
96.0,120.0,0.011,0.82,4.0
104.7,140.0,0.022,0.74,5.0
91.6,175.0,0.015,0.58,7.7
109.0,190.0,0.015,0.57,8.8
94.3,190.0,0.009,0.43,24.0
120.1,220.0,0.016,0.62,25.2
112.5,145.0,0.007,0.73,9.1
112.0,250.0,0.022,1.1,10.0
196.0,160.0,0.016,0.62,3.4
111.4,150.0,0.011,0.67,2.0
139.5,240.0,0.01,0.5,3.4
93.9,250.0,0.024,1.92,172.0
121.0,280.0,0.014,0.782,11.0
113.6,180.0,0.008,0.44,2.6
114.7,145.0,0.023,0.91,8.5
99.7,140.0,0.017,1.02,30.0
109.0,100.0,0.023,0.61,4.0
128.0,100.0,0.017,0.48,5.0
138.1,145.0,0.021,0.47,3.2
144.9,275.0,0.025,0.85,7.3
124.0,160.0,0.024,0.08,2.0
99.9,240.0,0.013,1.21,41.0
122.4,210.0,0.019,0.92,51.4
115.7,175.0,0.021,0.81,16.4
108.4,210.0,0.033,1.25,7.0
102.0,250.0,0.038,0.77,14.0
112.2,115.0,0.011,0.78,17.0
114.1,180.0,0.017,0.77,31.4
131.1,190.0,0.022,0.69,19.4
116.2,140.0,0.016,0.64,13.0
125.0,135.0,0.006,0.85,28.0
112.0,20.0,0.004,0.506,16.0
128.3,220.0,0.02,0.79,35.1
143.2,185.0,0.02,0.86,20.2
105.6,150.0,0.013,0.93,23.0
119.9,220.0,0.022,0.86,60.5
136.8,230.0,0.018,0.8,14.7
123.8,240.0,0.011,0.37,27.2
115.4,110.0,0.012,0.98,22.0
105.0,130.0,0.011,0.47,54.0
137.6,200.0,0.018,0.83,24.7
101.0,120.0,0.017,1.14,74.0
128.6,130.0,0.005,0.64,23.4
165.8,230.0,0.008,0.75,20.4
135.8,210.0,0.021,1.23,36.0
98.8,205.0,0.014,1.13,22.0
104.8,200.0,0.018,0.97,18.0
105.0,200.0,0.026,1.238,62.0
132.5,150.0,0.011,0.88,13.0
100.6,190.0,0.017,1.23,36.0
104.6,310.0,0.049,1.62,71.2
115.5,255.0,0.011,0.91,9.0
135.8,170.0,0.029,0.78,6.7
122.1,110.0,0.011,0.88,16.0
122.3,165.0,0.004,0.76,8.1
147.2,170.0,0.006,0.88,15.4
120.8,120.0,0.003,0.96,20.4
112.5,100.0,0.015,0.63,14.7
139.0,125.0,0.009,1.17,37.0
82.4,145.0,0.011,1.05,14.0
132.0,140.0,0.004,1.1,33.0
145.7,210.0,0.071,1.13,10.9
110.3,300.0,0.055,1.1,75.0
111.3,190.0,0.011,1.23,14.0
111.0,170.0,0.209,1.69,85.0
51.5,120.0,0.012,1.51,18.0
144.0,125.0,0.02,1.406,14.0
118.9,130.0,0.059,1.01,10.4
140.6,150.0,0.034,1.24,10.0
109.3,220.0,0.013,1.16,24.0
107.0,240.0,0.022,1.14,75.5
100.8,120.0,0.011,1.1,11.0
126.0,170.0,0.024,1.11,53.0
93.4,225.0,0.03,1.5,43.0
136.3,200.0,0.003,0.88,18.8
136.0,160.0,0.069,1.126,19.0
