"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
84.0,225.0,0.011,0.55,2.1,0.2846379999999976
127.4,295.0,0.002,0.33,5.5,0.42921799999999566
107.0,280.0,0.012,0.18,4.1,0.2568970000000025
114.8,405.0,0.002,0.42,15.9,0.46728799999999626
108.5,150.0,0.011,0.39,1.4,0.18818099999999954
110.0,240.0,0.012,0.58,13.4,0.47340099999999574
161.0,150.0,0.012,0.65,6.7,0.4630069999999948
114.4,200.0,0.001,0.61,3.7,0.32643299999999964
131.4,320.0,0.042,1.15,6.8,0.49611299999999575
113.9,330.0,0.108,3.75,7.7,1.283826999999997
123.7,320.0,0.006,0.42,6.8,0.4595849999999952
134.0,215.0,0.079,0.42,2.8,0.2722350000000004
117.5,350.0,0.005,0.65,6.3,0.45825499999999486
101.0,200.0,0.019,0.29,66.9,0.46620599999999635
124.0,320.0,0.003,0.39,9.4,0.4740859999999946
106.0,230.0,0.009,0.3,47.1,0.4662029999999963
99.1,310.0,0.008,0.61,15.1,0.4734189999999957
113.3,375.0,0.024,0.37,3.8,0.28254000000000223
91.6,175.0,0.382,0.58,7.7,0.45595099999999555
103.0,330.0,0.015,0.63,38.8,0.4734189999999957
99.2,215.0,0.006,0.5,15.0,0.4717559999999958
127.5,690.0,0.01,0.36,21.7,0.4668169999999963
117.1,270.0,0.007,0.45,2.2,0.21406599999999784
116.0,240.0,0.008,0.63,13.5,0.4734189999999957
88.0,400.0,0.006,0.42,6.3,0.45134999999999553
143.0,440.0,0.066,0.42,8.5,0.47120699999999455
129.1,230.0,0.011,0.61,5.2,0.4255259999999958
79.0,260.0,0.01,0.42,6.9,0.4603329999999952
131.1,190.0,0.009,0.69,19.4,0.4736589999999957
124.1,215.0,0.006,0.5,6.9,0.46515499999999477
157.0,180.0,0.017,0.39,5.0,0.3738939999999995
90.5,155.0,0.003,1.1,131.0,0.4924649999999959
122.4,210.0,0.012,0.92,51.4,0.48580099999999554
121.4,170.0,0.028,1.65,9.9,0.5197929999999957
111.7,120.0,0.016,0.66,161.0,0.4736589999999957
109.1,480.0,0.416,0.79,140.0,0.46350499999999706
101.0,110.0,0.014,0.89,30.7,0.4854799999999956
144.1,380.0,0.096,0.38,12.9,0.4667569999999963
107.5,340.0,0.007,0.8,16.6,0.4736589999999957
81.4,225.0,0.004,0.37,6.7,0.4557349999999954
114.7,315.0,0.003,0.21,10.3,0.4667669999999954
108.4,280.0,0.018,0.21,6.4,0.45023099999999555
116.0,465.0,0.025,0.53,13.3,0.4728989999999958
134.6,450.0,0.36,0.65,62.3,0.462839999999997
90.0,500.0,0.004,0.62,59.0,0.4734189999999957
138.1,145.0,0.019,0.47,3.2,0.2937880000000007
138.0,370.0,0.009,0.44,20.9,0.46734399999999626
112.9,295.0,0.02,0.61,8.6,0.4814749999999941
97.9,170.0,0.015,0.35,5.4,0.4302779999999957
107.0,200.0,0.034,1.32,90.5,0.501488999999996
152.0,370.0,0.055,0.22,9.2,0.4732769999999946
150.1,155.0,0.005,0.4,3.8,0.28106300000000234
92.4,200.0,0.049,0.33,3.3,0.2863810000000013
127.8,240.0,0.018,0.3,5.8,0.43897699999999557
113.0,210.0,0.045,0.34,5.3,0.42491799999999613
117.1,650.0,0.021,1.26,109.0,0.501400999999996
109.6,305.0,0.014,0.28,5.0,0.3689359999999996
105.0,290.0,0.029,0.46,9.7,0.4749489999999946
136.7,225.0,0.007,0.44,7.4,0.46008899999999453
110.1,600.0,0.03,0.78,32.7,0.4736589999999957
131.8,450.0,0.008,0.6,2.6,0.3092899999999989
109.8,305.0,0.01,0.59,10.2,0.47924599999999434
120.4,255.0,0.026,0.14,2.1,0.14201599999999986
122.0,210.0,0.008,0.68,1.5,0.2750419999999973
101.0,260.0,0.039,0.3,5.8,0.43897699999999557
129.6,195.0,0.008,0.88,10.0,0.48296999999999407
137.0,180.0,0.037,0.85,113.0,0.4737649999999957
116.1,255.0,0.021,0.5,4.4,0.3202080000000002
106.8,265.0,0.063,0.36,7.8,0.4594309999999946
109.5,520.0,0.07,0.69,16.7,0.4736389999999957
110.4,450.0,0.03,0.66,58.7,0.4736589999999957
123.0,275.0,0.027,0.36,0.9,0.15367700000000062
109.0,120.0,0.009,0.71,40.8,0.4736589999999957
146.6,150.0,0.052,0.47,5.2,0.4170079999999967
91.0,510.0,0.022,0.7,12.6,0.47435299999999575
98.0,200.0,0.193,0.44,10.4,0.4683439999999954
122.9,110.0,0.004,0.33,3.6,0.2856160000000018
171.3,310.0,0.024,0.38,6.7,0.4556979999999954
111.9,320.0,0.022,0.66,20.6,0.4736589999999957
119.3,310.0,0.027,0.85,26.7,0.4737649999999957
90.7,470.0,0.004,0.4,2.9,0.2758350000000008
87.0,450.0,0.009,0.65,7.1,0.4674019999999947
116.3,340.0,0.006,0.39,8.8,0.4744999999999946
133.3,200.0,0.015,0.72,7.5,0.46709199999999407
114.2,400.0,0.008,0.99,34.6,0.4906839999999959
119.4,200.0,0.038,0.36,0.9,0.15371900000000063
112.5,145.0,0.031,0.38,3.2,0.28751400000000116
115.0,290.0,0.016,0.55,5.6,0.4398399999999946
125.8,320.0,0.026,0.29,4.8,0.2983780000000013
93.0,270.0,0.012,1.03,61.1,0.4906839999999959
119.0,240.0,0.072,0.51,16.5,0.47173599999999577
109.0,110.0,0.12,0.3,0.9,0.1260920000000016
106.2,200.0,0.048,0.58,2.1,0.2902479999999976
114.6,120.0,0.011,0.61,11.4,0.4525229999999961
130.1,360.0,0.004,0.65,2.0,0.28602999999999745
124.2,210.0,0.006,0.4,4.2,0.29853800000000175
106.7,220.0,0.011,0.46,7.0,0.4611959999999952
110.2,340.0,0.014,0.51,50.3,0.4717559999999958
116.3,110.0,0.099,0.58,4.5,0.342742999999999
102.8,-99.0,0.065,0.39,5.6,0.4277439999999976
113.8,270.0,0.011,0.56,2.9,0.320168999999999
95.1,700.0,0.029,1.51,12.4,0.48275699999999716
109.3,235.0,0.005,0.28,9.6,0.4728769999999947
118.0,330.0,0.039,0.44,3.1,0.28850500000000096
123.4,300.0,0.028,0.73,9.1,0.482397999999994
112.3,330.0,0.015,1.4,49.7,0.501953999999996
89.9,210.0,0.113,0.24,1.8,0.15596400000000035
104.0,140.0,0.087,0.34,9.3,0.4740189999999946
92.7,330.0,0.007,2.33,583.0,0.5215829999999977
120.2,210.0,0.031,0.41,11.9,0.4461119999999967
113.0,240.0,0.016,0.41,2.3,0.214058999999998
151.1,230.0,0.03,0.47,6.1,0.4498789999999954
140.7,90.0,0.038,0.42,5.3,0.4257979999999962
167.4,155.0,0.004,0.62,13.3,0.4734189999999957
110.8,210.0,0.019,1.83,12.7,0.5112739999999972
118.1,375.0,0.009,0.32,14.8,0.4662029999999963
126.9,150.0,0.035,0.33,3.2,0.2863670000000012
98.7,170.0,0.026,2.35,794.0,0.5215829999999977
136.1,255.0,0.005,1.21,49.3,0.5008409999999958
101.9,130.0,0.008,0.42,2.7,0.26630700000000046
85.0,360.0,0.007,0.28,6.3,0.44999799999999557
115.9,445.0,0.014,0.72,54.6,0.4736589999999957
115.0,170.0,0.005,0.48,4.1,0.29696100000000164
91.7,270.0,0.008,0.5,4.5,0.32092500000000024
124.1,530.0,0.026,0.58,16.2,0.47340099999999574
115.6,240.0,0.029,0.59,15.8,0.4734189999999957
104.2,180.0,0.027,0.68,62.8,0.4736589999999957
108.0,130.0,0.013,1.01,163.0,0.4906839999999959
98.0,240.0,0.075,0.29,17.3,0.46620599999999635
116.0,525.0,0.033,1.1,160.0,0.4924649999999959
146.8,160.0,0.025,0.4,6.3,0.45134999999999553
122.9,220.0,0.029,0.9,10.0,0.494915999999994
122.8,305.0,0.031,0.37,2.0,0.20789299999999825
121.7,265.0,0.006,0.24,6.2,0.44974099999999556
159.7,250.0,0.006,0.37,3.1,0.2862790000000011
136.8,270.0,0.003,0.44,2.9,0.2787240000000007
108.3,295.0,0.016,0.32,2.9,0.2649450000000007
99.1,190.0,0.002,0.45,8.3,0.4596109999999945
125.0,300.0,0.026,0.53,7.9,0.46614099999999414
-99.0,350.0,0.005,0.48,2.4,0.2363339999999991
121.8,120.0,0.035,0.99,19.8,0.4906839999999959
100.0,510.0,0.039,0.57,13.8,0.47340099999999574
117.2,160.0,0.006,0.43,5.1,0.38199499999999886
132.6,290.0,0.127,0.9,21.2,0.48542099999999555
129.1,100.0,0.011,0.33,1.5,0.18802199999999958
88.0,445.0,0.007,0.4,0.8,0.17166300000000023
119.1,195.0,0.026,0.34,5.0,0.3734319999999993
148.2,260.0,0.001,0.04,3.2,0.21880800000000097
152.4,185.0,0.004,0.34,1.5,0.18871799999999955
113.0,150.0,0.008,0.4,2.5,0.2240729999999991
86.5,225.0,0.02,2.75,77.8,1.0247180000000027
116.7,360.0,0.019,0.66,118.0,0.4736589999999957
105.0,120.0,0.012,0.43,4.1,0.2914700000000021
109.0,140.0,0.005,0.35,3.7,0.28566600000000203
163.0,240.0,0.024,0.57,1.9,0.2895369999999976
106.0,340.0,0.017,0.25,1.8,0.16733100000000017
104.0,300.0,0.019,1.01,12.4,0.4700139999999964
116.9,130.0,0.02,0.68,6.8,0.4666539999999947
99.7,255.0,0.011,0.44,1.5,0.19554299999999927
128.5,220.0,0.069,0.2,6.4,0.44718299999999606
141.2,210.0,0.025,0.39,7.9,0.4599969999999946
128.3,270.0,0.007,0.48,16.6,0.4710659999999959
106.9,190.0,0.021,0.75,26.2,0.4736589999999957
104.0,390.0,0.077,0.4,4.7,0.31405500000000103
90.0,330.0,0.024,2.16,116.4,0.5225579999999979
126.3,360.0,0.009,0.58,5.8,0.4470079999999947
128.4,350.0,0.021,1.59,12.8,0.5055779999999971
118.0,150.0,0.013,0.33,10.9,0.45916999999999586
93.1,340.0,0.012,0.64,76.0,0.4736589999999957
144.8,200.0,0.006,0.54,4.0,0.3229230000000004
-99.0,540.0,0.012,0.83,14.0,0.5113459999999976
106.4,270.0,0.158,0.41,5.1,0.3811099999999989
152.1,265.0,0.065,0.54,26.4,0.47287899999999583
124.1,180.0,0.001,0.43,43.8,0.46728799999999626
101.9,200.0,0.003,0.53,9.3,0.48131499999999416
102.1,200.0,0.004,0.31,3.6,0.2721640000000019
146.9,140.0,0.004,0.41,3.6,0.2862570000000019
159.8,150.0,0.004,0.59,2.6,0.3090139999999989
120.9,180.0,0.004,0.63,50.1,0.4734189999999957
99.3,120.0,0.013,0.82,28.6,0.4735489999999957
83.0,130.0,0.009,0.726,7.9,0.4670559999999941
128.2,305.0,0.013,0.24,5.7,0.4289519999999957
117.6,550.0,0.011,2.55,479.0,0.585216999999999
132.9,240.0,0.249,0.37,3.0,0.2781970000000007
117.0,215.0,0.017,1.273,16.9,0.501355999999996
102.0,160.0,0.007,0.82,7.8,0.46697799999999406
122.0,190.0,0.001,0.31,1.9,0.18872299999999922
110.0,160.0,0.036,0.69,3.8,0.3234569999999998
105.0,120.0,0.007,0.91,17.1,0.4857579999999955
124.9,180.0,0.017,0.5,4.0,0.2962760000000014
122.1,210.0,0.005,0.45,8.4,0.4620529999999944
111.0,180.0,0.008,0.37,3.6,0.28758400000000184
97.0,110.0,0.015,0.38,5.3,0.4249559999999962
127.0,180.0,0.002,0.37,3.2,0.2881070000000012
109.0,220.0,0.011,0.45,3.2,0.290527000000001
141.9,540.0,0.01,0.53,1.6,0.2551559999999977
111.3,815.0,0.006,0.18,5.9,0.4348539999999962
154.0,270.0,0.01,0.38,2.1,0.20828099999999813
111.6,230.0,0.013,0.5,18.5,0.4717559999999958
101.0,125.0,0.004,0.76,96.9,0.4736589999999957
80.0,125.0,0.006,0.93,3.4,0.35882199999999886
107.0,150.0,0.015,0.75,5.7,0.4410449999999946
127.0,275.0,0.021,0.46,21.4,0.4681509999999962
153.2,230.0,0.003,0.61,14.6,0.4734189999999957
122.3,450.0,0.006,0.65,130.0,0.4736589999999957
