"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
117.6,550.0,0.011,2.55,479.0,0.59
132.9,240.0,0.249,0.37,3.0,0.28
117.0,215.0,0.017,1.273,16.9,0.5
102.0,160.0,0.007,0.82,7.8,0.47
122.0,190.0,0.001,0.31,1.9,0.19
110.0,160.0,0.036,0.69,3.8,0.32
105.0,120.0,0.007,0.91,17.1,0.49
124.9,180.0,0.017,0.5,4.0,0.3
122.1,210.0,0.005,0.45,8.4,0.46
111.0,180.0,0.008,0.37,3.6,0.29
97.0,110.0,0.015,0.38,5.3,0.42
127.0,180.0,0.002,0.37,3.2,0.29
109.0,220.0,0.011,0.45,3.2,0.29
141.9,540.0,0.01,0.53,1.6,0.26
111.3,815.0,0.006,0.18,5.9,0.43
154.0,270.0,0.01,0.38,2.1,0.21
111.6,230.0,0.013,0.5,18.5,0.47
101.0,125.0,0.004,0.76,96.9,0.47
80.0,125.0,0.006,0.93,3.4,0.36
107.0,150.0,0.015,0.75,5.7,0.44
127.0,275.0,0.021,0.46,21.4,0.47
153.2,230.0,0.003,0.61,14.6,0.47
122.3,450.0,0.006,0.65,130.0,0.47
119.4,250.0,0.037,0.3,6.8,0.46
110.0,110.0,0.009,0.44,5.1,0.38
135.2,330.0,0.003,0.49,18.0,0.47
113.2,195.0,0.015,0.35,26.4,0.47
134.4,165.0,0.016,0.36,9.2,0.47
110.9,350.0,0.005,0.96,34.3,0.49
118.0,260.0,0.015,0.34,3.4,0.29
121.8,305.0,0.045,0.56,22.3,0.47
155.5,180.0,0.018,0.5,3.3,0.3
127.1,380.0,0.01,0.66,40.4,0.47
96.3,200.0,0.004,0.88,55.0,0.47
104.0,205.0,0.015,0.4,5.2,0.41
98.0,190.0,0.011,0.69,4.9,0.39
111.5,420.0,0.022,0.23,4.6,0.29
102.0,270.0,0.014,1.02,9.6,0.5
133.9,155.0,0.011,0.45,10.6,0.47
133.0,490.0,0.026,0.32,3.8,0.27
126.9,210.0,0.006,0.74,5.2,0.43
104.0,520.0,0.007,0.63,10.8,0.47
128.4,135.0,0.014,0.72,19.7,0.47
94.8,300.0,0.009,0.49,33.2,0.47
154.2,240.0,0.018,0.74,12.7,0.47
122.0,410.0,0.035,1.3,54.7,0.5
111.6,510.0,0.005,0.59,27.3,0.47
160.9,740.0,0.393,0.34,3.5,0.28
161.8,170.0,0.728,0.43,3.5,0.28
102.7,195.0,0.679,0.37,5.6,0.48
149.8,290.0,0.013,0.5,4.9,0.38
96.0,135.0,0.002,1.09,24.9,0.49
100.0,260.0,0.007,0.43,17.5,0.47
138.0,220.0,0.016,0.44,9.2,0.47
130.0,200.0,0.018,0.37,3.1,0.29
103.0,300.0,0.063,0.21,11.5,0.44
138.7,245.0,0.054,0.68,7.2,0.47
112.0,230.0,0.006,0.59,3.8,0.32
118.1,410.0,0.014,1.09,101.0,0.49
116.1,405.0,0.023,0.37,4.0,0.28
97.6,340.0,0.892,0.89,8.2,0.6
111.0,240.0,0.013,0.41,8.5,0.47
151.6,295.0,0.053,0.51,1.1,0.19
182.8,145.0,0.005,0.42,17.8,0.47
114.9,210.0,0.051,0.43,1.0,0.16
121.5,210.0,0.009,0.44,3.7,0.29
131.4,210.0,0.061,1.27,95.6,0.5
96.0,110.0,0.043,0.44,8.4,0.46
101.0,140.0,0.007,0.46,3.5,0.29
